owner_id,owner_age_group,owner_gender,district,neighborhood_code,breed_primary,breed_primary_is_mixed,breed_secondary,breed_secondary_is_mixed,breed_type,dog_birth_year,dog_gender,dog_color
80509,71-80,female,2,24,Boxer,False,,False,large/working,2011.0,female,yellow
80513,61-70,female,3,33,Parson Jack Russell Terrier,False,,False,small/companion,2011.0,female,tricolor
80517,51-60,female,11,119,Bolonka Zwetna,False,,False,small/companion,2016.0,female,beige/cream
80521,61-70,female,11,111,German Shepherd,False,,False,large/working,2013.0,female,black/brown
80525,81-90,male,7,72,Miniature Poodle,False,,False,small/companion,2011.0,male,black
80538,61-70,female,2,24,English Cocker Spaniel,False,,False,small/companion,2011.0,male,black/white
80545,51-60,male,9,91,Border Terrier,False,,False,small/companion,2010.0,female,red grizzle
80545,51-60,male,9,91,Border Terrier,False,,False,small/companion,2006.0,female,black/brown
80571,51-60,male,3,34,Mixed breed (small),False,,False,small/companion,2013.0,female,black/brown
80575,81-90,female,4,42,Mixed breed (small),False,,False,small/companion,2008.0,female,white/beige
80584,71-80,female,8,82,Labrador Retriever,False,,False,large/working,2009.0,male,black
80602,71-80,female,12,122,Bolonka Zwetna,False,,False,small/companion,2011.0,male,white
80604,71-80,male,7,72,Labrador Retriever,False,,False,large/working,2009.0,female,brown
80604,71-80,male,7,72,Labrador Retriever,False,,False,large/working,2012.0,female,black
80607,81-90,female,10,101,West Highland White Terrier,False,,False,small/companion,2004.0,female,white
80618,71-80,female,8,83,Irish Terrier,False,,False,large/working,2005.0,female,red
80628,61-70,male,9,91,Labrador Retriever,False,,False,large/working,2016.0,female,black
80631,71-80,female,11,115,Mixed breed (large),False,,False,large/working,2012.0,female,brown/black
80637,81-90,male,12,123,Mixed breed (large),False,,False,large/working,2009.0,female,black
80648,51-60,male,11,111,Groenendael,False,,False,large/working,2015.0,male,black
80653,61-70,male,7,73,Groenendael,False,,False,large/working,2009.0,female,black
80656,71-80,male,10,101,Epagneul Breton (Bretonischer Vorstehhund),False,,False,large/working,2008.0,female,white/brown
80659,51-60,female,3,33,English Springer Spaniel,False,,False,large/working,2012.0,male,black/white
80661,71-80,female,7,72,Chihuahua,False,,False,small/companion,2014.0,female,black/beige
80684,71-80,female,7,72,Bergamasker,True,,False,large/working,2009.0,male,tricolor
80698,41-50,female,11,119,Toy Poodle,False,,False,small/companion,2016.0,male,red
80698,41-50,female,11,119,Toy Poodle,False,,False,small/companion,2019.0,male,white
80700,51-60,female,2,21,Mixed breed (small),False,,False,small/companion,2007.0,female,brown/white
80700,51-60,female,2,21,Podenco,False,,False,large/working,2009.0,female,brown/black
80713,61-70,male,11,111,Dachshund,False,,False,small/companion,2012.0,female,red
80715,61-70,male,6,61,Mixed breed (small),False,,False,small/companion,2007.0,male,fawn-brown
80719,61-70,female,11,111,Jack Russel Terrier,False,,False,small/companion,2004.0,male,white/black/brown
80719,61-70,female,11,111,Parson Terrier,True,,False,small/companion,2005.0,male,beige
80734,71-80,female,2,24,Podenco,True,,False,large/working,2016.0,female,brown/white
80735,51-60,female,12,122,Golden Retriever,False,,False,large/working,2010.0,female,blonde
80746,71-80,female,7,71,Dachshund,False,,False,small/companion,2016.0,male,black/red
80753,71-80,male,11,119,Mixed breed (small),False,,False,small/companion,2011.0,female,brown
80755,61-70,female,9,91,West Highland White Terrier,False,,False,small/companion,2012.0,female,white
80760,71-80,female,7,74,Epagneul Breton (Bretonischer Vorstehhund),False,,False,large/working,2015.0,male,white/orange
80761,71-80,male,11,115,Appenzeller Sennenhund,False,,False,large/working,2011.0,female,tricolor
80761,71-80,male,11,115,Appenzeller Sennenhund,False,,False,large/working,2008.0,male,tricolor
80763,71-80,female,7,74,Bernese Mountain Dog,False,German Shepherd,False,large/working,2012.0,female,tricolor
80767,71-80,female,9,92,Beagle,False,,False,small/companion,2012.0,male,tricolor
80778,61-70,male,2,23,Yorkshire Terrier,False,,False,small/companion,2014.0,female,black/brown
80784,51-60,female,7,71,Mixed breed (small),False,,False,small/companion,2015.0,male,beige
80797,81-90,female,2,24,Shih Tzu,False,,False,small/companion,2009.0,male,tricolor
80835,81-90,female,7,73,Maltese,False,,False,small/companion,2013.0,female,white
80838,71-80,female,7,71,Toy Poodle,False,,False,small/companion,2013.0,female,black
80840,51-60,female,10,101,Dalmatiner,True,,False,large/working,2012.0,male,black/white
80847,71-80,male,9,91,Beagle,False,,False,small/companion,2006.0,female,tricolor
80853,51-60,female,12,122,Labrador Retriever,False,Poodle,False,large/working,2015.0,female,black
80871,61-70,male,7,72,Miniature Australian Shepherd,False,,False,small/companion,2017.0,male,tricolor
80876,51-60,female,2,23,Miniature Schnauzer,False,,False,small/companion,2017.0,male,black/white
80879,61-70,male,7,74,Nova Scotia Duck Tolling Retriever,False,,False,large/working,2016.0,female,red/white
80881,71-80,female,7,72,Pug,False,,False,small/companion,2008.0,female,beige
80881,71-80,female,7,72,Pug,False,,False,small/companion,2010.0,male,beige
80883,61-70,female,7,73,Galgo Espanol,False,,False,large/working,2014.0,female,brown brindle
80883,61-70,female,7,73,Mixed breed (large),False,,False,large/working,2018.0,female,beige
80884,81-90,female,7,74,Cocker Spaniel,False,,False,small/companion,2005.0,female,white/orange
80888,71-80,female,7,72,Boxer,False,,False,large/working,2011.0,female,fawn red
80890,61-70,male,7,73,Pinscher,True,,False,small/companion,2004.0,female,tricolor
80899,51-60,female,11,115,Mixed breed (small),True,,False,small/companion,2015.0,female,tricolor
80904,61-70,male,8,82,Border Collie,True,,False,large/working,2016.0,female,tricolor
80915,71-80,female,3,34,Golden Retriever,False,,False,large/working,2006.0,female,blonde
80916,41-50,female,9,92,Groenendael,False,,False,large/working,2010.0,female,black
80916,41-50,female,9,92,Groenendael,False,,False,large/working,2018.0,female,black
80917,41-50,female,10,101,Mixed breed (large),False,,False,large/working,2014.0,female,white/brown
80940,71-80,female,7,71,Mixed breed (small),False,,False,small/companion,2004.0,male,gray/white
80940,71-80,female,7,71,Mixed breed (small),False,,False,small/companion,2011.0,female,black/brown
